day_of_month,weekday,month,year,hour_of_day,minute_of_hour,author,body
20,Monday,April,2020,17,47,Arizona,"If you have no friends over that amount of people that I have over you guys and this is not your team, we're going to go and make up one team and move on"" but we are going to do something simple and we are going to let them say ""Ok, here are some things about them that are different, and what's interesting about them that I don't care about, but what's"
28,Thursday,February,2019,1,37,Bette Porter,"Would you let me come see you tomorrow evening? Would I want to take your daughter from your daughter?""

You can also watch footage of the event on the BBC iPlayer and Facebook"
25,Saturday,May,2019,15,53,Bette Porter,"Would you let me come see you tomorrow evening? Do you like it there? - It's so weird, we're the only ones who do this"
10,Wednesday,July,2019,22,34,Arizona,"I guess it's like, 'Ahhhh, it's a really nice night' or something? - Why not? Why, how are things going, are they? Come here, please, and just kiss me"
7,Sunday,June,2020,4,43,Bette Porter,"(Aunt comes over to me) Okay, that was kind of a strange question"
9,Thursday,May,2019,1,3,Carol,"Well, I've talked to some of the women you mentioned as having problems with you before"
1,Wednesday,May,2019,4,34,Bette Porter,<Media omitted>
3,Thursday,January,2019,12,36,Waverly,"Sometimes you are like, 'oh okay"
26,Monday,August,2019,6,58,Therese,I'm going to let you do that
15,Friday,March,2019,21,44,Carol,"' Sometimes you really like that, you like how it makes you feel"
25,Wednesday,August,2021,12,53,Arizona,"You want to work on that sort of bonding and relationship when you don't have any, maybe you have a lot of relationships"
5,Saturday,January,2019,5,59,Waverly,It's such an important thing
1,Friday,October,2021,16,22,Bette Porter,I hope it's worth the time
27,Thursday,August,2020,17,18,Therese,<Media omitted>
14,Wednesday,August,2019,7,32,Therese,I don't know how you feel about this
1,Monday,March,2021,11,11,Arizona,But just do it
12,Tuesday,October,2021,20,11,Arizona,Do it
13,Saturday,March,2021,12,57,Arizona,I hope it doesn't get any worse
11,Thursday,February,2021,23,2,Arizona,"You’re welcome to [come], at least there’s some pretty country around where I live"
23,Saturday,May,2020,21,23,Arizona,However it's hard to get there
28,Friday,February,2020,4,32,Carol,"""

The boy glanced up, then back up again, trying not to think on it all"
9,Tuesday,June,2020,17,21,Bette Porter,"Hence his new friend, who looked so young even before his eyes"
4,Thursday,November,2021,17,56,Therese,"""Let me see you for yourself"
22,Friday,October,2021,17,27,Therese,"""

He glanced across his desk at the other girl"
18,Friday,January,2019,13,10,Waverly,"""Hello, do you come to join us?""

""Yes, it's my place"
31,Tuesday,December,2019,12,20,Therese,<Media omitted>
22,Thursday,April,2021,5,34,Carol,"""Please, wait"
23,Monday,March,2020,0,4,Carol,"I'm not an adventurer! Do you even come to join me?""

""…I…""

""Ooh, please wait and we can't talk, so let's just go off at once"
31,Monday,August,2020,8,21,Arizona,"""

The girl looked over and found him"
3,Sunday,February,2019,16,6,Therese,"""Let's go"
15,Tuesday,October,2019,1,45,Carol,<Media omitted>
24,Friday,May,2019,7,32,Therese,She had some food and water
2,Wednesday,January,2019,2,1,Therese,"When she arrived at her seat in the large room, Hanako sat, her arms folded over her chest"
19,Sunday,January,2020,19,30,Therese,<Media omitted>
16,Tuesday,March,2021,13,10,Arizona,The seat was covered in buttons from her hands
16,Saturday,January,2021,7,6,Bette Porter,Her hand could be seen clasping the buttons
1,Friday,May,2020,10,17,Waverly,<Media omitted>
14,Sunday,February,2021,15,5,Carol,<Media omitted>
7,Monday,January,2019,8,17,Bette Porter,I think you’d like them
8,Monday,July,2019,14,21,Bette Porter,<Media omitted>
14,Thursday,February,2019,0,36,Bette Porter,"It was like the day the Senate was going to pass, and they kept talking about how amazing it was"
8,Sunday,November,2020,12,47,Arizona,<Media omitted>
7,Monday,December,2020,17,21,Bette Porter,And what we did had great support among the people on Capitol Hill
11,Friday,September,2020,18,39,Bette Porter,"–

On ""The View"", we spoke about a potential political change for the House"
28,Monday,December,2020,3,44,Carol,I was talking to my friend in the House the other night
10,Monday,May,2021,23,37,Waverly,He said there have been multiple attempts in the past four years to put a bill to the House floor that would allow the House to pass legislation with much less of a legal challenge
15,Saturday,February,2020,1,40,Bette Porter,"And in those attempts, it was an effort by some big and moderate Republicans — I think that's been successful"
15,Wednesday,September,2021,16,19,Bette Porter,They brought up the issue of defunding social care
2,Thursday,April,2020,18,20,Arizona,<Media omitted>
19,Friday,March,2021,13,9,Arizona,<Media omitted>
31,Friday,July,2020,5,53,Carol,"You know, I'm from a small district, in rural Indiana, and I want to get that right"
31,Tuesday,August,2021,14,32,Waverly,So I'm thinking this is an important way forward on the future of this country in 2016
27,Thursday,August,2020,16,35,Arizona,And I'm working on legislation that will get rid of Medicare and Medicaid without increasing revenues
26,Wednesday,February,2020,21,11,Carol,"Because if people are not getting care, why would I expect all"
5,Sunday,December,2021,4,51,Therese,"Would you like to come visit me this Sunday?

I've got two days"
12,Sunday,December,2021,6,58,Therese,<Media omitted>
12,Friday,November,2021,19,29,Arizona,You're welcome
4,Wednesday,November,2020,18,51,Carol,"Well, I'll take your case"
31,Sunday,March,2019,1,44,Arizona,Good luck
7,Wednesday,July,2021,11,31,Waverly,<Media omitted>
15,Wednesday,May,2019,12,59,Arizona,I'm sorry
9,Friday,October,2020,19,16,Carol,My dad says you're sorry for everything
27,Tuesday,October,2020,20,16,Therese,"No matter how much you go through, my parents just want you to go through"
26,Wednesday,February,2020,4,54,Therese,I hope you're the happiest kid in the school or whatever
4,Saturday,January,2020,18,36,Therese,You're not
17,Thursday,December,2020,4,26,Arizona,"In the meantime, my Mom thinks"
12,Monday,August,2019,4,32,Waverly,She wonders if it's possible you can be a good mom now
6,Saturday,February,2021,20,53,Carol,"Okay, sure, she does"
15,Wednesday,July,2020,16,2,Arizona,Just not to the point where she'd like to go back into the school where everyone else is
9,Tuesday,July,2019,17,24,Bette Porter,Don't worry
14,Tuesday,December,2021,2,14,Therese,She's very happy in here
10,Friday,December,2021,12,12,Waverly,"You know what, she actually likes you, right?

Good"
6,Wednesday,May,2020,7,29,Bette Porter,That's what I wanted from her
23,Thursday,July,2020,19,46,Bette Porter,"Right?

Well, this is probably for the best"
8,Monday,November,2021,1,33,Therese,<Media omitted>
25,Sunday,April,2021,12,19,Bette Porter,"Thank you, Mom, for finally finally being such a happy person for me"
30,Friday,July,2021,19,32,Waverly,<Media omitted>
1,Monday,March,2021,5,10,Carol,She knows you're cute
31,Friday,January,2020,10,20,Waverly,So it'll be my night
26,Thursday,November,2020,16,49,Waverly,"I'm taking the bus when I get there, I'll get up and get out to my"
16,Thursday,April,2020,4,13,Therese,<Media omitted>
20,Monday,September,2021,8,39,Bette Porter,Wherever my car will take me
6,Monday,May,2019,8,12,Carol,West
11,Thursday,April,2019,16,10,Therese,Soon
20,Sunday,September,2020,21,16,Bette Porter,"And I thought, perhaps, you might like to come with me"
26,Saturday,October,2019,16,37,Waverly,"Would you? Would you like to talk, talk, talk about it?

José, as you'll recall, was a journalist, so he did his job"
21,Saturday,August,2021,20,30,Carol,Sometimes his work was interrupted
9,Thursday,September,2021,9,37,Carol,Most people like to talk to him
18,Friday,December,2020,14,56,Arizona,"The other day that he was about to be arrested on the street, the prosecutor asked him about his story, and he answered, ""Yeah; I'm going to be deported"
11,Monday,January,2021,23,23,Waverly,<Media omitted>
13,Monday,July,2020,9,35,Carol,I'm going to make an offer not to have anyone arrest me
9,Friday,October,2020,14,7,Arizona,I don't want anyone to start a criminal case against me
27,Thursday,May,2021,6,52,Therese,<Media omitted>
30,Monday,August,2021,8,56,Bette Porter,The police officer is a victim of domestic violence
16,Thursday,January,2020,9,47,Bette Porter,I just don't understand why any cop is going after a serial rapist who's really good at things you and he can't deal with
3,Friday,April,2020,4,4,Bette Porter,"And if there's a victimless crime, if it's a serial rapist, that's what you know? No, the rape victims aren't victims! And even if you don't understand why that's the case, you've gotta know exactly what you"
30,Wednesday,June,2021,15,38,Bette Porter,"What do you do on Sundays?

Oh, no really, it's just… I guess I can do it for free, but at the same time, I can get together with the guys to go sit down and work"
19,Tuesday,February,2019,3,30,Waverly,<Media omitted>
4,Monday,February,2019,12,55,Bette Porter,<Media omitted>
31,Wednesday,July,2019,9,49,Carol,<Media omitted>
28,Wednesday,October,2020,1,12,Waverly,"But I think what really struck me was this guy from Seattle, who I mentioned earlier does a couple of things I'll be using on weekends"
15,Wednesday,May,2019,1,19,Carol,"Okay, so how long (or have you asked?) did you wait before taking on this script and doing it?

That's for anyone who cares to know"
26,Wednesday,February,2020,17,37,Bette Porter,We're not doing that again
29,Friday,May,2020,12,42,Bette Porter,We're doing it with the guy from Portland we used to work with earlier
7,Tuesday,July,2020,21,43,Waverly,<Media omitted>
7,Monday,October,2019,10,51,Bette Porter,"Is there a studio there?

Yeah, we have a couple"
17,Friday,January,2020,8,36,Arizona,We have a movie theater as well
6,Tuesday,October,2020,16,8,Carol,"And we did the script, because it's a couple of months after we finished the project, and it's just kind"
9,Monday,September,2019,8,33,Carol,I’m meeting some people at the Oak Room at 9 if you want to have dinner – if you change your mind
10,Saturday,April,2021,9,4,Arizona,<Media omitted>
17,Wednesday,February,2021,22,20,Waverly,This post will be updated as more information is confirmed at this time
11,Thursday,April,2019,16,10,Waverly,Would you let me come see you tomorrow evening? Thank you
24,Friday,January,2020,2,2,Therese,"""

I walked over to her and held her hand"
17,Friday,July,2020,9,15,Therese,"""Sorry"
21,Saturday,March,2020,16,12,Therese,<Media omitted>
14,Thursday,May,2020,23,29,Waverly,My heart was pounding faster than it should but it was already sinking deeper
3,Thursday,December,2020,5,8,Therese,"""… Okay?""

My mom's voice trembled, she was trembling louder"
29,Tuesday,October,2019,20,42,Carol,"""So?""

""I'll stay in the house, too"
17,Monday,February,2020,12,44,Bette Porter,"""

""You… you know? I'm telling you that you can let my brother help you get out of bed,"" I said in disbelief, my eyes filling with tears"
30,Sunday,August,2020,21,56,Therese,"""Really?""

""Yes"
27,Wednesday,October,2021,21,52,Therese,"""

My mom seemed to lose her grip on me, my vision blurred and it didn't seem to be doing something to help me, I wasn't sure she had understood just how bad it was to be under what looked like a blanket"
23,Thursday,July,2020,23,58,Carol,"""You're not getting out of bed,"" I said and I heard her voice grow deeper that I was sure she wasn't able to hear"
18,Saturday,April,2020,9,4,Carol,"""No, no, no"
4,Monday,February,2019,5,13,Bette Porter,I'm just talking to Mom
8,Monday,June,2020,10,32,Carol,"""

""What are you talking to?""

My mom took out her phone and started recording"
3,Friday,April,2020,11,30,Bette Porter,"""I want to say please…""

""Mom"
8,Thursday,April,2021,21,13,Therese,"Okay?""

I was just as scared of her as she was"
8,Sunday,December,2019,10,49,Therese,"""You're going to ask her about it"
30,Saturday,January,2021,13,43,Bette Porter,The
2,Tuesday,July,2019,22,40,Bette Porter,I’m meeting some people at the Oak Room at 9 if you want to have dinner – if you change your mind
28,Tuesday,December,2021,23,54,Arizona,<Media omitted>
17,Thursday,December,2020,6,1,Arizona,Thank you
30,Saturday,January,2021,19,51,Carol,<Media omitted>
15,Tuesday,January,2019,11,44,Bette Porter,Miller and Mr
4,Tuesday,May,2021,17,17,Arizona,– Mr
30,Wednesday,September,2020,21,27,Bette Porter,"Miller, sir"
25,Thursday,November,2021,14,7,Carol,Thank you
23,Wednesday,December,2020,17,24,Waverly,Thank you
2,Wednesday,October,2019,5,19,Therese,– Thank you
6,Monday,December,2021,22,31,Waverly,<Media omitted>
12,Tuesday,March,2019,1,47,Arizona,"He added that ""It is one thing to bring money into the environment to create jobs"
14,Sunday,February,2021,15,55,Bette Porter,<Media omitted>
8,Friday,March,2019,7,1,Arizona,""" But in fact President Obama raised the issue of transportation while telling House Republicans that ""nobody has said either what is or does seem to be the answer with respect to the project"
20,Sunday,June,2021,0,30,Bette Porter,""" He emphasized to Republicans that he had always been committed to that project in order to help his administration achieve its goals"
1,Saturday,June,2019,2,17,Waverly,"]

Now let me look at something else from an episode from last weekend: Senator Ted Cruz (R-TX) said that the Obama Administration should consider withdrawing the TPP ""in part because,"" she says, it's only now ""that trade has brought trade so much economic activity forward in the Americas"
30,Saturday,January,2021,9,12,Arizona,""" He said that when trade is ""so rich that, as tariffs go down,"" that ""that's why there's no economic growth and growth that's not good for Americans and bad for our own economies"
25,Friday,September,2020,11,36,Carol,""""
26,Sunday,September,2021,0,20,Carol,"Let me take you to lunch, it’s the least I can do"
5,Wednesday,August,2020,8,23,Therese,<Media omitted>
3,Friday,July,2020,7,0,Arizona,Potter? You're going to try and help me…if you have someone who might be interested in joining you…you've got to go ask her
19,Thursday,August,2021,17,33,Carol,"""

With that he nodded, ""Yes,"" but he wasn't going to do it now and then"
29,Monday,April,2019,0,30,Bette Porter,With that
1,Wednesday,December,2021,4,38,Bette Porter,"At first Harry had thought that being asked to come with a companion was the worst possible way to go about it but with each passing day, Harry found himself unable to look up those plans, which proved to be the most dangerous part of all"
15,Tuesday,June,2021,16,54,Arizona,"""Well,"" he continued, ""what if there's someone else willing to take over?""

""Oh, you know,"" I said, ""sure"
24,Wednesday,February,2021,11,41,Bette Porter,I may…maybe…say something…about you
26,Wednesday,February,2020,0,39,Waverly,<Media omitted>
23,Wednesday,October,2019,7,37,Waverly,He was probably the only wizard who looked at me like Harry
26,Wednesday,June,2019,11,26,Bette Porter,No other wizard could read that face like that
25,Sunday,July,2021,19,56,Arizona,"I shook my head sadly, turning aside"
18,Saturday,July,2020,17,0,Waverly,"""I'm quite aware of your abilities here,"" I said, ""to deal with people whom you might try to befriend"
26,Saturday,September,2020,9,21,Arizona,<Media omitted>
21,Wednesday,July,2021,0,10,Carol,<Media omitted>
27,Wednesday,March,2019,14,56,Therese,"Harry wasn't a wizard, he wasn"
3,Friday,July,2020,20,9,Therese,<Media omitted>
17,Sunday,March,2019,6,16,Carol,<Media omitted>
9,Wednesday,September,2020,16,40,Therese,There is an amazing experience at Penn which we feel very lucky to be able to give them some time in front of students
22,Monday,March,2021,21,41,Waverly,"We have these students in the hallways just doing homework, with no one watching and being amazed by what they've been able to do"
27,Wednesday,February,2019,15,54,Bette Porter,"Not only are they teaching so many different questions, the entire class also learns how they go about the things they know they need to make their day to day life decisions"
25,Monday,January,2021,13,7,Therese,That's part of the challenge for parents and teachers alike
16,Thursday,July,2020,21,7,Carol,"It's great being in the classroom, not being alone"
1,Friday,February,2019,18,18,Bette Porter,"How did you go from being an Assistant professor to a teaching assistant?

It was not a short time before we were able to get a student who doesn't have quite what it takes to be a full professor, who is able to do everything and who can teach, let's say, students from a middle school"
19,Tuesday,February,2019,17,18,Therese,Would you let me come see you tomorrow evening? What are you waiting for? I'll be here soon
26,Saturday,June,2021,16,36,Carol,So be sure and be prepared
4,Wednesday,November,2020,16,11,Carol,<Media omitted>
17,Friday,May,2019,23,49,Waverly,I knew it! The whole time
20,Monday,September,2021,2,20,Bette Porter,<Media omitted>
7,Sunday,March,2021,18,20,Carol,<Media omitted>
12,Saturday,October,2019,5,24,Arizona,"My heart was beat, so I…wait…it was…the Black Dragon too"
4,Monday,November,2019,2,54,Arizona,I'm thinking
10,Friday,April,2020,13,7,Waverly,So now I'm thinking it's the Crimson Dragon too
3,Thursday,December,2020,22,2,Therese,"I'm a bit tired, but you keep telling me to go and see you, I wonder what the other side of you is going to think"
16,Tuesday,July,2019,20,36,Bette Porter,"And if you keep going and saying that you're thinking how I look, do you think I'm getting tired? And I'm pretty sure that is not because I'm not seeing you that much"
29,Tuesday,September,2020,16,39,Bette Porter,"So you try that kind of stuff to sleep, and get up and do it instead, right?

I don't know if I can hear you, but if I had to say something, you were right at bed time"
8,Friday,November,2019,17,12,Arizona,At least you told me to get up
19,Saturday,October,2019,13,15,Therese,I’m going away for awhile
1,Monday,June,2020,18,48,Arizona,Wherever my car will take me
22,Sunday,August,2021,12,53,Arizona,West
6,Tuesday,April,2021,21,34,Therese,<Media omitted>
2,Tuesday,June,2020,7,31,Carol,"And I thought, perhaps, you might like to come with me"
7,Tuesday,September,2021,23,52,Bette Porter,<Media omitted>
12,Monday,July,2021,5,16,Bette Porter,If you come
17,Tuesday,March,2020,19,55,Therese,<Media omitted>
5,Wednesday,February,2020,7,57,Therese,"But no, I wouldn't"
29,Monday,June,2020,19,55,Carol,I don't want to come because I mean to bring something different
15,Wednesday,April,2020,20,47,Waverly,Not even if it's my own
28,Saturday,March,2020,13,10,Waverly,<Media omitted>
3,Friday,December,2021,6,45,Carol,"Do you know whether they'll treat you better or you won't?

Peyton's got a great idea, if you ask me"
1,Friday,March,2019,9,34,Arizona,He doesn't think you'll help him that you don't go away to Europe
22,Wednesday,December,2021,15,19,Therese,"I said, look, don't get lost, don't get lost, we'll go somewhere with you

I'd come for a few paces if it was on the plane"
3,Saturday,August,2019,20,43,Bette Porter,"""Just don't go nowhere else than where it's best"
26,Monday,August,2019,13,52,Waverly,"I said, look, don't get lost, don't get lost, we'll go somewhere with you,"" he said"
30,Saturday,October,2021,19,25,Bette Porter,"""I can't wait"
14,Monday,January,2019,10,38,Bette Porter,<Media omitted>
25,Monday,October,2021,23,24,Carol,"""

A lot to say"
28,Sunday,April,2019,11,22,Arizona,"Then, as I walked out, he asked if I'd be interested in going with him, because it sounded like what he wanted"
28,Tuesday,April,2020,17,54,Bette Porter,"He didn't want me to wait for him, but"
21,Saturday,September,2019,14,51,Arizona,<Media omitted>
27,Sunday,October,2019,11,39,Arizona,"Oh, wait"
13,Saturday,March,2021,14,19,Therese,"She will leave, and I'll talk to you"
16,Tuesday,July,2019,4,46,Carol,She will get up and walk as soon as possible
3,Wednesday,June,2020,14,44,Waverly,"I will show her the best of you both, and see you tomorrow"
10,Sunday,February,2019,4,59,Waverly,"You need to stay behind, don't get me started on that"
25,Friday,June,2021,15,38,Bette Porter,Mister Wesson shook his head
22,Friday,March,2019,17,37,Therese,"""There's only one you can do as your guard"
15,Tuesday,December,2020,4,4,Carol,"Go with the others, and you will leave with her"
7,Saturday,November,2020,9,19,Carol,"""

Mister Wesson could not help but see that the way he talked, the way she spoke, kept her from letting Go with her"
6,Saturday,February,2021,13,50,Waverly,He wanted this
30,Monday,August,2021,18,53,Waverly,"No matter what, she would accept it"
5,Sunday,May,2019,18,19,Arizona,She wanted to help him
20,Saturday,February,2021,8,51,Waverly,He wanted to see her see that he wouldn't just disappear into thin air while he did his thing
6,Friday,November,2020,0,6,Therese,<Media omitted>
13,Wednesday,October,2021,4,40,Therese,"She would want to be with her own men again, he wanted the world to see that she knew her own limits and her own way"
18,Monday,January,2021,11,50,Waverly,"Instead, every action he took would be a distraction, an opportunity for her to forget they had worked so much that there needed to be something special for her in it to get there, for this to be okay"
2,Thursday,July,2020,23,13,Bette Porter,She would lose her grip on the crowd
23,Sunday,May,2021,10,10,Bette Porter,"He could see, in"
20,Tuesday,July,2021,6,48,Carol,I’m going away for awhile
21,Sunday,March,2021,12,32,Bette Porter,<Media omitted>
20,Saturday,June,2020,4,33,Therese,West
4,Sunday,October,2020,15,54,Waverly,Soon
16,Friday,April,2021,6,31,Waverly,"And I thought, perhaps, you might like to come with me"
13,Monday,April,2020,22,38,Arizona,Would you? Oh? Okay
17,Thursday,September,2020,5,31,Waverly,<Media omitted>
2,Thursday,December,2021,17,26,Arizona,I am going to do your business
30,Thursday,May,2019,13,21,Waverly,You are going to protect me
29,Wednesday,December,2021,18,17,Waverly,"That is my work, as long as you don't break that promise"
20,Sunday,October,2019,1,23,Waverly,"That's my business, if you will"
6,Sunday,October,2019,9,52,Carol,I am going to protect you through all that
16,Tuesday,November,2021,22,26,Bette Porter,"How? Oh, yes, I will"
12,Sunday,April,2020,5,45,Arizona,<Media omitted>
26,Sunday,May,2019,23,1,Arizona,"If you ask me, I have this plan, I will let go of your shoulders"
9,Sunday,February,2020,15,5,Carol,Go away
29,Sunday,March,2020,10,22,Therese,<Media omitted>
23,Friday,August,2019,7,52,Waverly,"This, this, this"
27,Monday,September,2021,6,54,Arizona,it must get worse
14,Monday,December,2020,8,39,Carol,It must be worse
9,Sunday,May,2021,2,58,Bette Porter,<Media omitted>
17,Saturday,August,2019,12,16,Bette Porter,And then you will get better
17,Wednesday,April,2019,6,22,Arizona,You will get better
21,Wednesday,August,2019,6,51,Bette Porter,You will have a family
11,Thursday,February,2021,4,3,Carol,The children of your father
10,Wednesday,June,2020,3,59,Therese,You will play the parts of a happy family
16,Thursday,December,2021,22,22,Arizona,"A happy school, a happy job, and still in school of your future father"
25,Friday,September,2020,19,36,Waverly,<Media omitted>
6,Sunday,September,2020,2,33,Arizona,"And to your future family, your future father, the future family where you live, the future family who will make your memories vivid"
3,Thursday,June,2021,16,33,Arizona,The future father and future daughters of your father
20,Thursday,June,2019,19,31,Waverly,"So now, now be free, have my way with you"
27,Wednesday,October,2021,10,58,Carol,You will
26,Sunday,September,2021,1,4,Carol,I’m going away for awhile
31,Tuesday,December,2019,9,59,Bette Porter,<Media omitted>
26,Saturday,December,2020,14,35,Carol,West
22,Sunday,December,2019,5,46,Arizona,Soon
7,Thursday,October,2021,13,24,Arizona,"And I thought, perhaps, you might like to come with me"
29,Wednesday,January,2020,2,55,Carol,Would you? Would you mind if I gave you a little ride back to my house
18,Saturday,April,2020,18,6,Therese,I have left my room
30,Sunday,June,2019,6,29,Therese,<Media omitted>
17,Wednesday,February,2021,3,45,Waverly,"Why would I want nothing more than to sit in your car and listen to what you're saying? What of your plan, now? Well, I'm curious you could give a tour of your home"
2,Thursday,December,2021,12,23,Therese,It might be worth it if you could stay to listen to what I'm saying
19,Saturday,September,2020,1,11,Bette Porter,"It could be of use to you, if you will, to look up to someone or something that might be going on in your vicinity"
2,Wednesday,June,2021,3,55,Therese,<Media omitted>
28,Tuesday,September,2021,11,7,Carol,The last thing anyone should see right now is your car parked in front of you
20,Sunday,October,2019,9,43,Arizona,<Media omitted>
20,Monday,May,2019,7,3,Therese,Don't say that
1,Friday,January,2021,23,20,Therese,I saw your vehicle parked somewhere in the back yard on your way to come back to my room
29,Friday,November,2019,7,24,Bette Porter,<Media omitted>
26,Tuesday,February,2019,18,33,Bette Porter,Perhaps just myself
3,Thursday,October,2019,19,59,Bette Porter,We may have only done it once
23,Tuesday,July,2019,12,9,Carol,You see my face
29,Wednesday,January,2020,10,24,Bette Porter,<Media omitted>
30,Wednesday,June,2021,4,49,Waverly,I see tears
29,Saturday,August,2020,12,8,Arizona,<Media omitted>
27,Sunday,December,2020,4,0,Arizona,<Media omitted>
6,Tuesday,October,2020,14,29,Carol,But
19,Tuesday,May,2020,13,24,Bette Porter,<Media omitted>
30,Thursday,May,2019,13,13,Carol,Let´s talk
21,Friday,August,2020,4,1,Therese,<Media omitted>
1,Wednesday,January,2020,7,55,Therese,I love everyone
15,Monday,April,2019,0,32,Therese,I love you dearly
31,Sunday,October,2021,7,41,Bette Porter,But I´ll never feel like leaving
14,Thursday,November,2019,4,55,Arizona,But to leave just to get back into the ring might be the most selfish feeling you´ve ever experienced
14,Thursday,January,2021,12,51,Carol,"What the hell?! A ring in my hand! I want to go off to the hospital anyway, because someone tells me its too dangerous! A ring in my hand?! A ring in my mouth?!


But I can't see the other side"
30,Monday,November,2020,12,15,Waverly,"And what does any of that say about me!

Pseudonyms for 'saying that' and 'being so kind' could have been something along those lines in a long time ago, but in some of those cases they never caught on, which is why 'says that' isn´t really what they should mean"
2,Saturday,May,2020,21,56,Waverly,"And if that wasn´t the case, would you really be asking what I actually think of you, and what that means to you?


Pseudonyms for 'getting to know' also vary over time"
19,Friday,June,2020,5,14,Therese,"For me, I´ve taken a lot of pride in my character and how I got to know one of my best friends, but maybe that´s not so great when you need someone you can trust"
2,Wednesday,June,2021,21,2,Carol,Pseudonyms for 'getting to know' (and 'being so kind' should have been
1,Thursday,July,2021,13,5,Waverly,I’m meeting some people at the Oak Room at 9 if you want to have dinner – if you change your mind
22,Monday,February,2021,18,21,Bette Porter,I think you’d like them
3,Sunday,October,2021,10,15,Therese,I think we have three other people who want to come
6,Wednesday,January,2021,11,33,Arizona,<Media omitted>
17,Tuesday,November,2020,19,54,Waverly,I think it is better for me to keep my promise to you
