datetime,day_of_month,weekday,month,year,hour_of_day,minute_of_hour,author,body
2019-01-27 19:54:00,27,Sunday,January,2019,19,54,Therese,<Media omitted>
2019-01-28 04:42:00,28,Monday,January,2019,4,42,Therese,there was no need for that
2019-01-28 18:20:00,28,Monday,January,2019,18,20,Therese,<Media omitted>
2019-01-28 21:20:00,28,Monday,January,2019,21,20,Carol,Everything is really nice and stylish
2019-01-29 22:17:00,29,Tuesday,January,2019,22,17,Arizona,<Media omitted>
2019-01-30 07:33:00,30,Wednesday,January,2019,7,33,Waverly,Vote for your favorite round every day that you play
2019-01-30 19:58:00,30,Wednesday,January,2019,19,58,Arizona,")

I will lead you"
2019-01-30 21:10:00,30,Wednesday,January,2019,21,10,Therese,I swear to all y'all I'll be doing this for years so that I will be able to keep it that way regardless of the situation’and maybe this thing works out better…but I don't know
2019-01-31 04:50:00,31,Thursday,January,2019,4,50,Waverly,If you really like it there you can also have sex with me and see what I have in
2019-01-31 10:02:00,31,Thursday,January,2019,10,2,Therese,"The Dormitory serves an enormous list of accommodations available, and I've had the pleasure of making every opportunity I could to get to know the local folks there, as well as to be able to share my thoughts on the subject of food and drink for every resident of The Dormitory with the rest of us"
2019-01-31 10:09:00,31,Thursday,January,2019,10,9,Arizona,<Media omitted>
2019-01-31 11:02:00,31,Thursday,January,2019,11,2,Arizona,"As soon as something happened to me, every single day that I went to bed, every single day that I"
2019-01-31 11:29:00,31,Thursday,January,2019,11,29,Therese,"I will find a place somewhere like this where I can sleep,'"" she says"
2019-01-31 16:36:00,31,Thursday,January,2019,16,36,Waverly,"Would you?

‡I love you too much when your mind is at rest"
2019-02-01 14:02:00,1,Friday,February,2019,14,2,Carol,"It takes no effort, why would you"
2019-02-01 15:55:00,1,Friday,February,2019,15,55,Carol,"I'm all you, my love"
2019-02-01 18:18:00,1,Friday,February,2019,18,18,Bette Porter,"How did you go from being an Assistant professor to a teaching assistant?

It was not a short time before we were able to get a student who doesn't have quite what it takes to be a full professor, who is able to do everything and who can teach, let's say, students from a middle school"
2019-02-02 04:34:00,2,Saturday,February,2019,4,34,Therese,"��

If I'm not done, I'll meet up later for you to go and chat"
2019-02-02 11:26:00,2,Saturday,February,2019,11,26,Therese,Maybe it's a combination of the three
2019-02-02 12:04:00,2,Saturday,February,2019,12,4,Carol,M
2019-02-02 12:06:00,2,Saturday,February,2019,12,6,Arizona,This is just from how we thought of it
2019-02-02 15:50:00,2,Saturday,February,2019,15,50,Waverly,<Media omitted>
2019-02-02 17:14:00,2,Saturday,February,2019,17,14,Bette Porter,<Media omitted>
2019-02-02 17:15:00,2,Saturday,February,2019,17,15,Arizona,A very nice bed with a comfortable sofa
2019-02-02 17:20:00,2,Saturday,February,2019,17,20,Bette Porter,I
2019-02-02 21:07:00,2,Saturday,February,2019,21,7,Bette Porter,"Will Marcellus ever marry another man?

MILK: I can't say"
2019-02-02 23:15:00,2,Saturday,February,2019,23,15,Arizona,"Of course, it's not true"
2019-02-03 04:24:00,3,Sunday,February,2019,4,24,Bette Porter,It's not even funny
2019-02-03 07:08:00,3,Sunday,February,2019,7,8,Bette Porter,"He was 17, he was from the suburbs of Chicago, a young girl"
2019-02-03 16:06:00,3,Sunday,February,2019,16,6,Therese,"""Let's go"
2019-02-03 23:34:00,3,Sunday,February,2019,23,34,Carol,It keeps getting boring
2019-02-04 03:17:00,4,Monday,February,2019,3,17,Bette Porter,"The Dormitory in Seattle is located on the city's northwestern shore, far north of the city proper"
2019-02-04 05:13:00,4,Monday,February,2019,5,13,Bette Porter,I'm just talking to Mom
2019-02-04 12:55:00,4,Monday,February,2019,12,55,Bette Porter,<Media omitted>
2019-02-04 16:33:00,4,Monday,February,2019,16,33,Bette Porter,I hope you are
2019-02-04 21:26:00,4,Monday,February,2019,21,26,Therese,Now just let me see you
2019-02-04 22:02:00,4,Monday,February,2019,22,2,Therese,"1) This was the first time I've ever used it as a matchmaker

This wasn't until I started playing as well as I am now in the following seasons, but my experience was there"
2019-02-05 00:48:00,5,Tuesday,February,2019,0,48,Waverly,I can't sit back
2019-02-05 07:12:00,5,Tuesday,February,2019,7,12,Carol,"But I don't understand what I eat, but"
2019-02-05 12:07:00,5,Tuesday,February,2019,12,7,Waverly,We'll come back later
2019-02-05 18:48:00,5,Tuesday,February,2019,18,48,Waverly,"Once you hit the ""suck out"" phase, everything else gets pushed as much as you want (because of ""why would I care about them""? Well…because I'm an idiot, isn't it?)"
2019-02-05 20:11:00,5,Tuesday,February,2019,20,11,Waverly,But it also meant I could not
2019-02-06 05:44:00,6,Wednesday,February,2019,5,44,Waverly,"Also, there is something about your writing now that really made me smile"
2019-02-06 10:26:00,6,Wednesday,February,2019,10,26,Arizona,I really do
2019-02-06 13:00:00,6,Wednesday,February,2019,13,0,Therese,"‡Oh yes, well, then"
2019-02-06 15:09:00,6,Wednesday,February,2019,15,9,Carol,"""

""I'll go"
2019-02-06 21:07:00,6,Wednesday,February,2019,21,7,Arizona,Wherever my car will take me
2019-02-07 00:14:00,7,Thursday,February,2019,0,14,Arizona,on Sunday
2019-02-07 08:44:00,7,Thursday,February,2019,8,44,Therese,It’s okay
2019-02-07 13:43:00,7,Thursday,February,2019,13,43,Carol,I have to find a way to open it
2019-02-07 16:55:00,7,Thursday,February,2019,16,55,Carol,"What do you do on Sundays? Or in that last day?""

""If people aren't there, why is it important?""

""Do you think their voices and feelings need to be heard more?""

""What's the difference between calling them out while they're away and asking when they might be back?""

""Does it bother you that a word can be 'unseen'? Or that someone may see it as 'too-clear'? Or that you need to be careful about how you say something like that? And what do you do with that information when it comes to social media, you may just be saying, 'I need this"
2019-02-09 12:09:00,9,Saturday,February,2019,12,9,Arizona,<Media omitted>
2019-02-09 15:18:00,9,Saturday,February,2019,15,18,Therese,We get along well
2019-02-09 16:23:00,9,Saturday,February,2019,16,23,Therese,"And if you start talking to me right now, they are going to give you their number and they are going to tell me where your friends are and what else"
2019-02-09 22:57:00,9,Saturday,February,2019,22,57,Carol,"We could be all that great again, and nothing will be done—there are many ways you could be gone, but I'm willing to give it my all, and I'm willing to put this little city above them"
2019-02-09 23:46:00,9,Saturday,February,2019,23,46,Therese,<Media omitted>
2019-02-10 04:59:00,10,Sunday,February,2019,4,59,Waverly,"You need to stay behind, don't get me started on that"
2019-02-10 09:07:00,10,Sunday,February,2019,9,7,Carol,Don't make me come
2019-02-10 11:12:00,10,Sunday,February,2019,11,12,Therese,<Media omitted>
2019-02-10 18:21:00,10,Sunday,February,2019,18,21,Carol,That's all
2019-02-11 07:51:00,11,Monday,February,2019,7,51,Therese,<Media omitted>
2019-02-11 22:22:00,11,Monday,February,2019,22,22,Therese,<Media omitted>
2019-02-12 01:32:00,12,Tuesday,February,2019,1,32,Therese,She loves you
2019-02-12 13:37:00,12,Tuesday,February,2019,13,37,Carol,<Media omitted>
2019-02-12 17:48:00,12,Tuesday,February,2019,17,48,Therese,"I'm no better equipped as a magician, no matter how hard I try"
2019-02-12 23:49:00,12,Tuesday,February,2019,23,49,Arizona,"To my own eyes, I am the only man on the planet who will always love you"
2019-02-13 01:06:00,13,Wednesday,February,2019,1,6,Waverly,"A lot helps to understand what works against you at work, as well as what doesn't, when it comes to your work"
2019-02-13 01:58:00,13,Wednesday,February,2019,1,58,Bette Porter,"A big fat guy was just sitting around talking and talking about the race, playing with his brother, like, he was a bad guy"
2019-02-13 07:03:00,13,Wednesday,February,2019,7,3,Arizona,"Would you?

[I love you for your beautiful appearance, Elsa"
2019-02-13 07:42:00,13,Wednesday,February,2019,7,42,Bette Porter,"This, being a scene of fear, did not help aching nerves"
2019-02-13 16:12:00,13,Wednesday,February,2019,16,12,Arizona,"If you think that your ideas will work against you, read your bio and read your reviews (which means people who say you write have the right feedback too)"
2019-02-13 16:21:00,13,Wednesday,February,2019,16,21,Carol,"If you want to ask me if I need something,"
2019-02-13 16:36:00,13,Wednesday,February,2019,16,36,Arizona,<Media omitted>
2019-02-13 21:29:00,13,Wednesday,February,2019,21,29,Bette Porter,"He must have got some training, he must have got some experience so it is just not something that I can trust into this life"
2019-02-13 21:35:00,13,Wednesday,February,2019,21,35,Bette Porter,So
2019-02-14 00:36:00,14,Thursday,February,2019,0,36,Bette Porter,"It was like the day the Senate was going to pass, and they kept talking about how amazing it was"
2019-02-14 01:01:00,14,Thursday,February,2019,1,1,Carol,That was a good meal
2019-02-14 22:29:00,14,Thursday,February,2019,22,29,Therese,I'd be out there for at least a few days
2019-02-15 08:44:00,15,Friday,February,2019,8,44,Arizona,I've had a love affair now
2019-02-15 15:25:00,15,Friday,February,2019,15,25,Arizona,I’m meeting some people at the Oak Room at 9 if you want to have dinner – if you change your mind
2019-02-15 18:42:00,15,Friday,February,2019,18,42,Therese,"The thing is, I just can't stay here so long"
2019-02-16 00:57:00,16,Saturday,February,2019,0,57,Arizona,And if it ain't gonna be for some reason
2019-02-16 02:03:00,16,Saturday,February,2019,2,3,Arizona,"5 MB] ""The Perfect Way"" by a very talented editor named

Goddard John L"
2019-02-16 21:44:00,16,Saturday,February,2019,21,44,Therese,"Hey! Hey, get out of here! I want you to stay here"
2019-02-17 02:31:00,17,Sunday,February,2019,2,31,Arizona,"You know, once we met, you looked a little older than I am now"
2019-02-18 16:13:00,18,Monday,February,2019,16,13,Carol,I’m meeting some people at the Oak Room at 9 if you want to have dinner – if you change your mind
2019-02-19 03:01:00,19,Tuesday,February,2019,3,1,Carol,"I have been here for nine years and I am sure I can do without her, but what if I have to fight for anything I do"
2019-02-19 03:30:00,19,Tuesday,February,2019,3,30,Waverly,<Media omitted>
2019-02-19 10:35:00,19,Tuesday,February,2019,10,35,Bette Porter,No one cares but you
2019-02-19 12:50:00,19,Tuesday,February,2019,12,50,Therese,"She stood and walked over to the couch in the back of the living room, which now sits on a small balcony and looks down on Boston's skyline"
2019-02-19 13:32:00,19,Tuesday,February,2019,13,32,Therese,People are gonna say something stupid or stupid
2019-02-19 17:18:00,19,Tuesday,February,2019,17,18,Therese,Would you let me come see you tomorrow evening? What are you waiting for? I'll be here soon
2019-02-20 02:22:00,20,Wednesday,February,2019,2,22,Waverly,You cannot talk about tax reform without talking about something else
2019-02-20 07:19:00,20,Wednesday,February,2019,7,19,Waverly,<Media omitted>
2019-02-20 08:36:00,20,Wednesday,February,2019,8,36,Waverly,Just a single room now
2019-02-20 11:52:00,20,Wednesday,February,2019,11,52,Carol,"""Well, what do you mean he is tired of"
2019-02-20 16:29:00,20,Wednesday,February,2019,16,29,Bette Porter,It's that big of a deal right now
2019-02-20 16:34:00,20,Wednesday,February,2019,16,34,Waverly,"'""

What was the most difficult person for you to tell? What was your most difficult experience of doing good with other people?

""Some of the hardest people, I told them the other week"
2019-02-20 21:11:00,20,Wednesday,February,2019,21,11,Bette Porter,"What's not to like, just be real"
2019-02-20 23:56:00,20,Wednesday,February,2019,23,56,Bette Porter,That you can always do whatever you want with me though
2019-02-21 01:37:00,21,Thursday,February,2019,1,37,Bette Porter,"So, I must say something"
2019-02-21 08:15:00,21,Thursday,February,2019,8,15,Bette Porter,"The team traded starting center Andrew Whitworth to the Panthers, while also bringing in former star receiver Dont'a Hightower"
2019-02-21 23:18:00,21,Thursday,February,2019,23,18,Therese,"What do you do on Sundays?

On Fridays we do three things, and a big one is actually on Saturdays, but it isn't that often – that just means that there are more people working than on Sundays, so that's what you're doing, but it doesn't always mean it's one of those days which is you're playing"
2019-02-22 01:17:00,22,Friday,February,2019,1,17,Therese,"My girlfriend isn't going anywhere, so I'd love to come for you right now"
2019-02-22 11:02:00,22,Friday,February,2019,11,2,Bette Porter,"Maybe you should think outside the box or something, I hope that will be okay"
2019-02-22 16:35:00,22,Friday,February,2019,16,35,Arizona,I wish to go get some good things here
2019-02-23 05:04:00,23,Saturday,February,2019,5,4,Arizona,"And to see you all, because we're living in the past"
2019-02-23 18:15:00,23,Saturday,February,2019,18,15,Carol,<Media omitted>
2019-02-23 21:19:00,23,Saturday,February,2019,21,19,Therese,<Media omitted>
2019-02-24 02:08:00,24,Sunday,February,2019,2,8,Therese,"You take your seats in front of the desk, staring at how things are going with their new boss"
2019-02-24 04:48:00,24,Sunday,February,2019,4,48,Therese,"""I want a safe house without children,"" I agreed"
2019-02-24 08:46:00,24,Sunday,February,2019,8,46,Waverly,"So, the governor said this: In other words, it might be a little late if no water came in"
2019-02-24 11:59:00,24,Sunday,February,2019,11,59,Carol,Rudy: There's a lot more going on now than you probably know
2019-02-24 17:19:00,24,Sunday,February,2019,17,19,Waverly,I'll stay as if I have no friends
2019-02-24 19:29:00,24,Sunday,February,2019,19,29,Carol,"Even if you look to me for help, I will be the only one where you make mistakes’’'’’'’'"
2019-02-25 01:34:00,25,Monday,February,2019,1,34,Arizona,"""You are a strong character by example, by showing a sense"
2019-02-25 01:35:00,25,Monday,February,2019,1,35,Therese,"Yes, well, I'll come back with more details with you on how to make that deal with the Ours or whatever the fuck that sounds like at"
2019-02-25 01:38:00,25,Monday,February,2019,1,38,Carol,"They all really are super sexy, they all have a way of showing off"
2019-02-25 02:00:00,25,Monday,February,2019,2,0,Therese,I wish these people that I have some money to help me find a place for myself for the time being
2019-02-25 08:16:00,25,Monday,February,2019,8,16,Bette Porter,<Media omitted>
2019-02-25 11:19:00,25,Monday,February,2019,11,19,Carol,I was getting paid
2019-02-25 19:22:00,25,Monday,February,2019,19,22,Arizona,<Media omitted>
2019-02-25 20:24:00,25,Monday,February,2019,20,24,Carol,"I really have no idea how to respond to you, okay? But I know how to respond to you"
2019-02-26 06:00:00,26,Tuesday,February,2019,6,0,Arizona,Please don't blame me
2019-02-26 06:12:00,26,Tuesday,February,2019,6,12,Therese,"To get a seat in the seating configuration, click here to make an appointment"
2019-02-26 08:17:00,26,Tuesday,February,2019,8,17,Arizona,<Media omitted>
2019-02-26 09:48:00,26,Tuesday,February,2019,9,48,Therese,You don't like him
2019-02-26 09:49:00,26,Tuesday,February,2019,9,49,Bette Porter,<Media omitted>
2019-02-26 18:33:00,26,Tuesday,February,2019,18,33,Bette Porter,Perhaps just myself
2019-02-27 04:44:00,27,Wednesday,February,2019,4,44,Waverly,"Like, ""I'm sure when I get into these things, I'm gonna keep doing what I'm doing, but I'm not willing to be forced to do so"
2019-02-27 09:22:00,27,Wednesday,February,2019,9,22,Carol,"This is a small project based around a couple different studies, including a study in anthropology, and a dissertation about the psychology of people"
2019-02-27 10:01:00,27,Wednesday,February,2019,10,1,Waverly,"Yang sighed, ""If you had given me more of your stuff, I don't think I would've expected you to do things like this"
2019-02-27 14:12:00,27,Wednesday,February,2019,14,12,Carol,"He says he always watches him closely as I sit down in the room to talk with everyone, and if anything happens you have to call for my dad before you leave him alone—a nice feeling for him! 'Then they'll think I'm here, and they'll assume I'm not going to the office because we're in such heavy financial straits that any suggestion that I need help is highly suspect"
